compound,sentence_type,sentence,gpt_prompt_1_resp,gpt_prompt_2_resp,gpt_prompt_3_resp
baby blues,idiomatic,"However, the symptoms of baby blues are mild and usually disappear after a couple of weeks.","A temporary state of sadness and emotional fluctuation that some new mothers experience, often linked to hormonal changes and the challenges of motherhood.",Mild postpartum depression experienced by new mothers.,A temporary state of mood disturbances experienced by new mothers after childbirth.
silver bullet,literal,Chastel had loaded a custom made silver bullet into his gun with which he fired on the creature and killed the beast with a single shot.,silver bullet,silver bullet,A bullet made of silver used in the context of folklore to kill supernatural creatures.
brain surgery,idiomatic,"The know-how necessary to keep physicians financially healthy might not be brain surgery, but it can be cumbersome and complicated.","A metaphor for a task or decision that is complex, requiring significant mental effort and careful consideration.",A complex and difficult task requiring careful consideration and expertise.,A complex or challenging task that is not as difficult as one might assume.
red flag,idiomatic,"The biggest red flag of all, though, was that neither newspaper ever linked to the supposed study of violence in teenagers.","A warning sign indicating potential danger or trouble, often in relationships or situations.",A warning sign of potential problems or dangers.,An indication of a potential issue or danger.
white elephant,idiomatic,Miami's original Metrorail line was a white elephant when it was built and it remains one today.,"A burdensome or costly possession that is more trouble than it is worth, often given as a gift.",An expensive but impractical possession that incurs more costs than benefits.,A possession that is expensive to maintain but of little value to the owner.
two-way street,literal,"In many cases, two-way streets result in twice as many pedestrian accidents as one way.",two-way street,two-way street,A mutual or reciprocal relationship where both parties are expected to give and take.
rat run,idiomatic,"Residents were concerned about speeding vehicles, including the delivery lorries and the road being used as a rat run.","A shortcut that is often used to avoid traffic, sometimes implying a crowded or chaotic situation.","A shortcut taken to avoid delays, often through alternative routes.",An alternative route through a residential area used to avoid traffic on main roads.
graveyard shift,idiomatic,He moved from the 10 pm slot to his lower profile life as a DJ on Radio Norwich's graveyard shift.,"A work shift that takes place during the late night to early morning hours, associated with loneliness and fatigue.",A work shift that takes place during late night to early morning hours.,A work shift occurring during the nighttime hours.
dirty money,idiomatic,"When dirty money disappears offshore, it becomes more difficult for governments to tackle corruption.","Funds acquired through illegal or unethical means, often carrying a sense of guilt and danger.",Money obtained through illegal or unethical means.,Illicitly obtained money associated with criminal activities.
high life,idiomatic,It just showed how she still lived the high life while everyone else endured rationing.,"A luxurious and extravagant lifestyle, filled with indulgence and wealth.",An extravagant and luxurious lifestyle.,A lifestyle of luxury and wealth.
pain in the neck,literal,"It usually causes high temperature and pain in the neck, jaw or ear.",pain in the neck,pain in the neck,Discomfort or soreness in the neck area.
guinea pig,idiomatic,"A former resident of one of the homes said she was used as a guinea pig for vaccines at a home in Cork, before being adopted in 1961.","Someone used as a test subject in an experiment, evoking a sense of vulnerability and exploration.",A person used as a subject for experimentation.,A person used for testing or experimental purposes.
cat's eyes,idiomatic,American roads in the South do have cat's eyes but we don't have them in regions with snow because the plows would scrape them up every winter.,"Reflective road markers that enhance visibility at night, symbolizing guidance and safety in darkness.",Reflective markers for visibility at night.,Reflective road markers used for navigation and safety on roadways.
cold turkey,literal,"When you're serving cold turkey, take out only as much as you're going to use and put the rest back in the fridge.","Abruptly quitting a habit, marked by discomfort and determination.",cold turkey,Cold turkey refers to turkey meat served at a low temperature.
low-hanging fruit,idiomatic,Howard said there was a lot of low-hanging fruit to be found in customers who have large back-office teams ready for automation.,"Tasks or opportunities that are easy to accomplish, often appealing due to their simplicity and quick returns.",Easily achievable tasks or opportunities.,Easily attainable goals or opportunities that require minimal effort to achieve.
busy bee,idiomatic,There's no need to worry if you're a busy bee - even just 10 minutes of meditation can bring many benefits.,"A person who is very industrious and always busy, conveying a sense of energy and productivity.",A person who is very active and industrious.,A person who is very active and hard at work.
wet blanket,literal,Wet blankets draped over neighboring cabins prevented the fire from spreading.,wet blanket,wet blanket,"A blanket that is wet, used for fire prevention."
chicken feed,literal,"Feed pets inside and do not leave pet, livestock or chicken feed outside.",chicken feed,chicken feed,Pet food or feed intended for chickens and other livestock.
